index,Text,Type,pred
69431,"¡Gran manera de moverse! Mi novia y yo estuvimos en Todos Santos por un par de días, no alquilamos un automóvil, pero aún queríamos llegar a Pescadero y Cerritos Beach. ¡Esta era la manera perfecta! Alquilamos uno de los vehículos de Black Sheep por un día y lo pasamos de maravilla tomando las carreteras secundarias del desierto hacia la playa. Ryan también hizo la logística muy fácil para nosotros; Él trajo el vehículo a nuestro hotel y simplemente lo dejamos allí (llaves y ipad en la recepción del hotel) cuando terminamos. El iPad que te da tiene un gran GPS a través de satélite, por lo que no había preocupación por perder nuestro camino. ¡Te lo recomiendo mucho!",Attractive,Hotel
133804,"Compras, comida, bares Gran ubicación de todos los hoteles, fuimos a la pizza Rock, manta rayas, la Ptio, Bolly madera, Tacarria tacos, jolgorio, todos buena comida y bebidas",Attractive,Restaurant
30961,"Woooooowwww Es un lugar impresionante y muy bien mantenido. La verdad es que en principio no estábamos convencidos, pero resultó ser una gran elección. El lugar es increíble. ",Attractive,Restaurant
187256,"Excelente Excelente experiencia, todo el personal muy amable, el lugar limpio y la comida deliciosa. Si regreso :)",Attractive,Restaurant
177920,"un aspecto escalofriante Basándonos en las otras críticas visitamos el pasada pesos y los domingos. Nos recibieron con miradas, sirve una margarita en una taza de poliestireno (malo para el medio ambiente) y empujado a comprar barbacoa (nosotros no lo hicimos).  Que realmente no habría sido tan malo...y nos fuimos muy contentos. Pagamos la factura en pesos y a la izquierda un consejo decente. Somos gente agradable y apreciar aquellos en el negocio de la hospitalidad. Pero nosotros nos persiguieron por el barman por unos 20 pesos adicionales! ""Nos no 10 a 1 aquí!"" dijo. la última vez que nos registramos el 23 de noviembre, el tipo de cambio era de 12 a 1. Espero que 60 de Buck valió la pena una crítica nada favorable.Más",Restaurant,Attractive
97381,"Excelente Nos hospedamos en el hotel y es demasiado lindo y la gente increíblemente amable. El hospedaje incluía el desayuno y no podía ser mejor, súper recomendado!!",Restaurant,Hotel
42993,"Buen hotel, pÃ©sima comida PedÃ­ en el restaurante un Rib Eye... lejos de valer el precio. En la cena buffet (del evento al que asistÃ­) los platillos normales (nada excepcional). En el desayuno habÃ­a cebolla con huevo.  La vez anterior todo estuvo bien.",Hotel,Restaurant
58248,"Imprescindible ir con auto Playa esplendida ..Elegir muy bien no ir en temporada de sargazo , ya que el hotel no tiene piscina ..Hotel muy tranquilo",Attractive,Hotel
124873,"Desayuno perfecto  Excelente servicio por parte de Juan Ramón, el desayuno excelente, muy buena mezcla de sabores, relación precio calidad es perfecta, prueben la cajeta.  Sin duda una muy buena opción para desayunar!!!!!",Hotel,Restaurant
88314,"Delicioso Escondido entre calles que te invitan a recordar, llenas de color, plantas ,caminos empedrados y en donde los balcones entre las casas pueden rememorar ""el beso de un callejón"" de otra hermosa ciudad, un niño nos lleva al Scafecito. 
Desde que llegamos queremos saber más,...Más",Restaurant,Attractive
25716,"Excelente Hola...como describir mi experiencia en mi estancia en este hotel solo un palabra la podría describir ""sublime"" desde la llegada al lobby nos recibieron de una manera muy amena, nos trataron como si fuéramos amigos del alma, en nuestra estancia se dirigían a nosotros con nuestros nombre haciendolo más especial porque no te sientes como un huésped más. La cena estuvo super deliciosa probamos el chamorro a cocción lenta y el pulpo a las brasas, textura perfecta balance de sabores y presentación excelente,una noche no teníamos ganas de cenar algo fuerte y pedimos algo ligero y del menú del desayuno y no hubo problema en pocas palabras nos consintieron en todos nuestros caprichos. Las bebidas super deliciosas y los desayunos igual. Solicitamos un servicio especial y la verdad mis",Hotel,Restaurant
199185,"Un paraíso en la playa Nos encanta visitar este maravilloso lugar en Tulum y estaban tan preocupados cuando tenían el fuego terrible en enero. Íbamos a mediados de abril y no podía creer lo rápido que se han recuperado y reconstruido. Es tan encantador como antes y la comida es...deliciosa. El personal es genial, no sólo en el restaurante, pero en la playa. Es un lugar absolutamente precioso y que hay que hacer cuando estés en la playa.Más",Restaurant,Attractive
72337,"Un Oasis de tranquilidad + Aventura Un lugar espectacular, de primer mundo con la mejor atención. Tienes de todo con todas las comodidades. Habitaciones cómodas, zona de camping, restaurante delicioso y la zona de tirolesas y puentes es realmente divertido!",Attractive,Hotel
203800,Festejamos el aniversario de mi esposa Festejamos el aniversario de mi esposa en familia nos dieron opción de elegir el menú a nuestro gusto muy buen servicio y sobre todo calidad de parte del personal que nos atendió lo recomiendo ampliamente,Hotel,Restaurant
73280,"SÃºper ambiente. Hola! Me encantÃ³, solo estuve un par de horas. Pero debo volver... ambiente, lugar y comida muy recomendables.",Attractive,Restaurant
108946,"Atención y Cócteles increíbles. Increíble la atención recibida por todo el staff, en particular del bartender Izmael sorprendiendonos con la preparación y habilidad con la que preparaba todos los cócteles. Muy buen lugar para ir de fiesta con amigos, te sientes seguro y la calidad de los cócteles fue muy buena en relación al precio.",Hotel,Restaurant
41093,"Viñedo joven, gran futuro Hoy conocí este bonito viñedo y comí en el restaurante Terruño. Viñedo joven, buenísima comida. Muy padre lugar, muy buen servicio y una puesta del sol increíble. Comimos una ensalada de burrata extraordinaria y un porterhouse que no tenia nombre. Muy recomendable si andan por ahi.",Attractive,Restaurant
7557,SERVICIO HOTEL MISION SAN JOSE La atención fué muy buena. El restaurante y las habitaciones me agradaron. Los meseros muy atentos. El servicio en general bastante bueno. Volveré.,Restaurant,Hotel
15875,"La vida en la playa Limpios y cómodos bungalows de playa. Nos alojamos en 41 y T3. Cada bungalow tiene sillas en el patio, pero el patio de 41 era bastante grande, con una hamaca. El patio de T3 con sillas y sillones y la mejor vista al mar. El único inconveniente para T3 es que debajo del molino, que no es silencioso. El hotel dejó mucho verde y palmeras, así que la mayoría de los lugares están a la sombra.  El bar de la playa tenía dos servidores cada día el registro en las tumbonas. La sombra era abundante. La playa es buena para los surfistas de kite, y el viento era patear todo el fin de semana. El viento nos mantuvo del recalentamiento, así que disfrutamos. También probablemente mantenidos lejos niños pequeños. La arena es blanca y suave-- las fotos en el sitio web son exactamente lo que vas",Hotel,Attractive
153800,"Atencion Regular Las instalaciones son muy agradables, aunque el personal no tiene un buen nivel de atención (en restaurante), Es un poco molesto que aunque tengas el ultimo bocado en tu plato, ellos demuestren prisa por recogerlo.  Esto se compensa con la preparación de los alimentos que tienen muy buen sabor. La alberca es un lugar agradable aunque el espacio podría tener una mejor distribución .",Hotel,Restaurant
52330,"Un recinto del placer y la bellaza Tuve la oportunidad de pasar una tarde en el club de playa. Todo el personal fue muy amable y servicial desde la llega. 
Las playas son hermosas, muy limpias y con muchos lugares donde recostarse para tomar el sol o bajo una palmera.
Es el...Más",Restaurant,Attractive
98145,"Encuentro con la naturaleza Al visitar este restaurante quede enamorado del paisaje desde que lo conocí, se respira un ambiente de paz y tranquilidad, estar en contacto con la naturaleza que lo rodea
la comida de muy buena calidad y excelente sazón y la gran variedad de guisos de...Más",Restaurant,Hotel
132492,"Gran vaca Nos encantó este hotel y el personal. Cerca de una de las playas más bellas. bar justo al otro lado de la calle con los lugareños corriendo y muy amable. Alquilamos un carrito de golf para toda la semana y chico, qué maravilla y ahorrar dinero y tiempo esta forma. Los taxis locales llevado, pero nada como simplemente salir y llegar en carro. (y se puede beber una cerveza mientras conducía ciudad hastas).  ser seguro y elegante con tho. Los restaurantes locales eran geniales. Don Chepos, Ronlandis, Jax's, Oscar, y un asador de Argentina fuimos a unas cuantas veces cada una. todo increíble. Luego unos pequeño taco local rias. Tienen un 7-11 puede realmente comprar Coors Light en así que mi marido me encantó. amable, y no son agresivos en venden sus productos. Me encanta esta isla",Hotel,Attractive
90991,"encuentas buen servicio ya es la segunda vez que estoy con ustedes y todo me parece muy bien , recomiendo el servicio y para los cursos a los que asisto es una super hubicacion , el personal muy atento y los desayunos muy completos",Hotel,Restaurant
132068,"Visita familiar La Hacienda tiene impresionante construcción, me encantó, un gran lugar para una estancia tranquila, los recorridos a través de los laberintos y túneles te llevan entre la historia de épocas feudales, es un lugar sumamente interesante.. muy recomendable.",Hotel,Attractive
476,"Dios mío! Nuestro conductor nos sugirió que al igual que todos los demás locales. está al norte de la franja de playa!! En verdad me hd había tacos de pescado 5 veces en como muchos días, y son el mejor!! También estoy obsesionado con su explosión de...banana batido! Una parada si estás ciclismo a Tulum ruinas desde su hotel Tulum!Más",Restaurant,Attractive
149291,"Mejor Beach club en isla La mejor opción en club de playa en isla mujeres frente al mar y al hotel mia, comida deliciosa recomiendo la hamburguesa buffalo y la atención de todos increíble y de Gisela súper anfitriona. Acceso a la alberca y bañosMás",Restaurant,Hotel
184621,"Excelente!! Un buen lugar para quedarte en sancris, confortable y económico ademas de estar super cerca del parque principal, unicamente agregaria o sugeriría mas variedad para su restaurante. Sin duda recomendado ya que me he quedado en varias ocasiones y siempre igual de atentos.Saludos!!",Hotel,Restaurant
113109,"Un lugar muy especial Nos gustó el lugar, con su montaje con palets de construcción. Tiene un pequeño museo de Mezcal interesante. La comida está sabrosa",Restaurant,Attractive
30974,Una joya Un pequeño restaurante enfrente del mercado cercano a Playa Norte. Menu de Gran variedad y precio accesible la atencion muy buena.,Restaurant,Attractive
198907,Ojalá pudiera daría un cero! Este no es más que un centro de artesanías y patio de comidas con una piscina y un poco de agua turbulenta. Seguro en un día de calor es agradable refrescarse pero ahorra el gas y usar la piscina del hotel o una bañera. Mi novia estaba allí hace 25 años cuando estaba limpísimo y encantador. Ahora es una de los vendedores agresivos y protección pandilla que operaba.,Attractive,Hotel
8471,"Restaurante No es por nada, pero el restaurante del hotel Tripui es de los mejores si no el mejor restaurante de la región, no solo por los sabores y la preparación sino por la variedad de platos con comida de la zona, muy bueno!",Hotel,Restaurant
71003,"La comida y la ubicación Este establecimiento rebosa de restaurantes con encanto, historia, comida ligera y gran. Hay unos pocos restaurantes que comparar. Pruébalo, te estarás contento de haberlo hecho.",Attractive,Restaurant
102489,"Excelente lugar para visitar  Un lugar sin igual con varias actividades recreativas para disfrutar de un ambiente natural, la gente del lugar es muy amable y la comida deliciosa. ",Attractive,Restaurant
100355,"Estadía amena  El sitio es muy lindo, las habitaciones están super bien y todo el concepto que está muy bien logrado. Me encantó el lugar y de mis sitios a regresar.",Restaurant,Hotel
65620,"Un lugar muy agradable para pasar un día con amigos o en familia. Uno de los lugares más hermosos en la laguna de bacalar, la casa de lacubierta de 25 pesos stromatolite por persona, pero te lo puedes llevar tu propia comida o cocinar justo allí!(por desgracia no muchos lugares en bacalar permiten ahora) así que no te lo pierdas! ! !",Attractive,Restaurant
159045,"Relaaaaax!!!!! El mar en tulum, buenos ceviches, cervezas, gente relajada y amigos! Perfectoooo, tu consumo te da acceso a instalaciones y un lugar agradable, la playa no es de lo mejor y muchas veces está cerrado por eventos privados pero aún así es una de las mejores opciones en Tulum... como recomendación fomentar el turismo local porque su mercado es principalmente europeo y como todo Tulum se vende muy caro",Hotel,Attractive
201552,"La mejor comida en México!!!! Este lugar es increíble, veníamos de un todo incluido en Playa Del Carmen, y hemos comido en varios restaurantes de 5 estrellas en este viaje. El servicio es de primera clase, y la comida está en una liga de su propio. El mejor pulpo que he probado, y que es uno de mis platos favoritos!!! Evita el todo incluido y estancia aquí!",Hotel,Restaurant
131190,"Recomendacion Nos encantó todo el servicio!! Especialmente el entrenamiento, Miguel es fabuloso! Nos enseñó a preparar el ceviche de camarón y luego a bailar!! Totalmente lo recomiendo!! Seguro que regresaremos!! Excelente",Hotel,Restaurant
97284,"Muy buena opción  En el centro de Valladolid un típico y rico restaurante , comida típica de Yucatán y platillos internacionales . De muy buena cocina y buen servicio. Para ser Valladolid los precios elevados pero la calidad lo amerita. Una comida de 4 fue una cuenta de $1,000 pesos mx aprox (usd$ 52) ",Hotel,Restaurant
91031,"- Increíble ubicación increíble comida! Cenar al lado del mar de Cortez está lejos de la ciudad de todo ... Mar adentro, Isla Coronado atrae a sus huéspedes. El personal - Imelda y Alejandro - sentir más como una familia que más refinada. La comida es fresca, preparación siempre impecable...y agradable ... La ubicación y el ambiente - ¡increíble! I volver una y otra vez y estoy totalmente satisfecho cada vez!Más",Restaurant,Hotel
90338,Excelente atención  Las instalaciones son bastante sencillas y requieren mejorarse. Sin embargo la excelente atención que brinda la familia que atiende el lugar hacen que la experiencia sea bastante agradable. El temezcal es muy agradable y se disfruta sin necesidad de entrar en los ritos cósmicos. Adicionalmente puedes pedir comida que es muy rica y las porciones son muy bastas. Definitivamente lo recomiendo y regresaría.,Attractive,Restaurant
193429,"Bonito lugar Es un lugar simple que puedes visitar en 3omin. Si quieres tomarte la foto del recuerdo o en el letrero de ""Bacalar"", adelante. Frente a él se encuentra el parque principal con varias opciones de comida/snacks por la noche.",Attractive,Restaurant
36483,"Perfecto relajante destino de la playa! Mi marido y yo nos encantó la cebra. El personal era increíble, los camareros son de lo mejor. increíblemente agradable y atento. La comida era extraordinaria, los desayunos fantásticos. Nos comimos tres comidas al día para los primeros cuatro días y nunca nos cansamos de. Las bebidas también eran increíbles. Nuestra propia bebida favorita fue la Luna llena y coco y piña fresco fusiona con menta y el hielo, súper delicioso! Y los mojitos con bastón (frescos de azúcar eran para morirse. No se puede superar la atmósfera, muy relajante. No tuvimos problema para encontrar un cómodo lugar en la playa como algunos huéspedes, teníamos. No entiendo por qué una crítica se quejaron de los niños, que eran Omni-presente pero realmente no nos molestó. Sin embargo, no cabe duda de que no",Hotel,Restaurant
138552,"Me atendió un mesero en estado de ebriedad El mesero estaba borracho, se le caían las cosas y olvidaba lo que habías ordenado. Después de haber ordenado el postre y esperar por 20min, el mismo mesero se acerca y se presenta nuevamente xomo si fuéramos una mesa nueva, cuando en verdad el ya tenía más de una hora ateniéndiendonos.",Hotel,Restaurant
31558,"Increíble Una de las mejores experiencias que e tenido, los paisajes son increíbles, el servicio es 10/10, uno de los mejores planes que pueden hacer en todos santos",Attractive,Restaurant
138832,Delicioso desayuno Comimos casi todo lo que hay en el menú. La mejor parte es al lado del hotel. amable personal de Super. Asegúrate de comer (caliente) se sirve con pimentón cada desayuno.,Attractive,Restaurant
82061,Un ambiente cálido y ENCANTADOR lugar LLENO DE historia Perfectamente situado en el centro de la ciudad de San Cristóbal y un personal que literalmente vive para mimarlo 24/7. Excelente desayuno incluye café fresco de las montañas cercanas. La gerencia nos dio muy buenas recomendaciones sobre los mejores restaurantes de la ciudad y lugares para ir.,Hotel,Restaurant
59651,"Muy divertido, pero debido a la mala clasificación de tratamiento por parte de la dirección. Tuvimos un gran tiempo disfrutando de las actividades. La comida era excelente. El personal era increíble. Las instalaciones eran excelentes. La mala clasificación es para el pésimo trato que recibimos de la administración. La dirección era muy grosero con nosotros cuando teníamos algunas preguntas sobre el menú. Ella era condescendiente y beligerante, fue una pena que nuestro día terminó con una increíble nota amarga.",Attractive,Hotel
127490,"Excelente Lugar para pasar una velada romantica Tuve la oportunidad de Cenar con mi novia y celebrar nuestro aniversario En Kanan, un lugar especatacular con una Vista increible y la comida deliciosa, desde el principio tuvimos la oportunidad de que nos recibiera Grecia una persona muy atenta y amable que estuvo al pendiente de nosotros en cada momento, tambien destacar a  Brianda Samir y Aranxa que tambien  estuvieron al pendiente de nosotros, recomiendo mucho el lugar, es una experiencia inolvidable y ùnica...",Hotel,Restaurant
147987,California La mejor bienbenidad  con Guadalupe  na Recinos de una forma extraordinaria  Benimos de California el carisma unico unos tacos deliciosos  nos ate foo de lo mejor tacos de chorizo pollo res Camaron  recomendado un placer amigo estaremos diario contigo gracias,Hotel,Restaurant
201743,"una atención muy personal y agradable desde que realizas la llamada para pedir información te responden rápido y concreto, son sumamente accesibles hacia el cliente y la atención increíble. tienen detalles en toda la experiencia del temazcal y al finalizar que simplemente te hacen regresar y recomendarlo ampliamente. GRACIAS!",Attractive,Hotel
22143,Maravilloso lugar  Es un excelente lugar donde puedes meterte a bañar un buen rato con una excelente vista. La entrada a el lugar es de 100 pesos mexicanos.,Attractive,Restaurant
200511,"Excelente todo Excelente servicio!!! Jhonatan nos atendió Perfecto, y nos avisò de Año Nuevo que pasaremos aquí gracias a su recomendación. Todo muy rico y muy buen precio. Nos encantó el lugar y volveremos muy pronto. Y vimos el Partido del mundial excelente todos",Hotel,Restaurant
12004,"Hermoso lugar en medio del bosque Lugar espectacular en medio del bosque, tiene un puente colgante y una decoración de lujo. La comida es deliciosa, sobre todo el salmón. Tiene muchas actividades para los niños ( hay que reservar con tiempo) y es muy amigable para las mascotas. Es el lugar...Más",Restaurant,Hotel
129971,"Cenote Excelente La experiencia en el restaurante fue maravillosa, la comida súper rica, el servicio excelente por parte de todo el staff, el lugar se encuentra en perfecta armonía con la naturaleza, sin duda regresaré.",Hotel,Restaurant
148761,"EXPERIENCIA INOLVIDABLE 5 es el tope?? Porqué no se pueden más estrellas?? 
EXCELENTE SERVICIOOOOOOOOOO!!!!! WooooooooW :D

La calidad de lugar y personas se respira desde que se entra en éste lugar!!!
Disfruté cada momento, que hasta olvidé por completo el objetivo de mi visita.
Un clima bastante...cálido, acogedor, realmente como en CASA!!!

Superó todas mis expectativas la atención de cada persona que forma parte de éste super EQUIPO!!!

La música, la gente, la comida deliciosa, la bebida ni se diga....
En resumen, una de las MEJORES EXPERIENCIAS que he tenido en todo MI MÉXICO!!!

GRACIAS TOTALES RAY Y TODO EL EQUIPO DE CASA DOMENECH!!!!Más",Restaurant,Hotel
23645,"ALMEJAS TATEMADAS, UN MANJAR... Nos costó un poco de trabajo encontrar quien las hace pero valió la pena y ahora les paso el tip. En este hotel las apartas con 24 horas de anticipación, un mínimo de 5 órdenes (8 almejas cada orden), pagué $ 1,070 pesos por 5 órdenes + una orden de almeja natural de 6 piezas y las bebidas. Las hacen frescas al momento, como un ritual, colocándolas una por una en una cama de piedra y luego una cubierta de hierba seca con flamas que hacen de este molusco un platillo digno de reyes. Se acompaña de tortillas de harina exquisitas y una salsa secreta de mostaza que le dan un sabor único. Vale mucho la pena la espera. Además el personal súper amable... de diez. Cabe mencionar que nosotros somos de paladar exigente...",Hotel,Restaurant
3187,"Es una decisión relajante y medicinal Excelente atención, la estancia todo muy bien nos atendieron de maravilla, sin duda lo recomiendo al 100% es una experiencia inolvidable que te deja una relajación de dioses.",Attractive,Hotel
24132,"mejillones! Sí, comimos y bebimos con Don Pedro 3 comidas. estaba tan bien. restaurante principal de playa muy interesante con una zona cubierta y una zona de playa de comedor. Vimos los Sooners mejor estado de Iowa. boomer's",Restaurant,Attractive
186817,"Mayahuel, recomendacion de 100! Una de las mejores opciones para comer en la zona arqueológica de Teotihuacan, con bella vista de la pirámide del sol...",Restaurant,Attractive
1759,Los mejores desayunos del mundo El restaurante Hunab-Ku tiene los alimentos más deliciosos de Bacalar. Los desayunos maravillosos los tamales de cochinita enchiladas Morelianas y lo mejor de todo el pan recién salido del horno wowww . La atención de Javier y Carlos fueron lo maximo!!!,Hotel,Restaurant
81390,"Escapada a Taxco Taxco es un pequeño poblado del estado de Guerrero. Es uno de los numerosos pueblos mágicos de México, pero eso, sin duda, ya lo saben. Lo que es importante saber es lo extraordinario de ese lugar. Qué bien se come, qué sensacional es caminar por sus callejuelas y llegar, acalorados, a disfrutar una rica nieve frente a la Iglesia de Santa Prisca... ¡Tanto por ver! Taxco se nos ofrece como una escapada de la vida citadina y se convierte en un cómplice que hace nuestros días inolvidables. Tan inolvidabla, que al salir, ya estamos planeando nuestra siguiente visita.",Hotel,Attractive
109844,"Mesón del marqués Excelente ubicación, restaurante muy bonito estilo colonial pero servicio hay que mejorarlo. Algunos cuartos están geniales, pero  otros mal situados en pasillos frente a piscina con mucho ruido.",Restaurant,Hotel
171115,"Precioso e histórico lugar Puedes conocerlo pagando un boleto, lo tienen muy bien cuidado, tiene unos túneles subterráneos geniales, el lugar es grande puedes estar ahí 3 horas conociéndolo, la Iglesia es genial. Una experiencia histórica y estética de primer nivel.",Hotel,Attractive
66376,"Excelente calidad de la comida y el servicio Fuimos un domingo y la vista a la playa era precioso! El servicio fue excelente y la comida era excelente! No podríamos haber soñado con una cena más tranquila y agradable. Breeze fue perfecto en una playa perfecta! Si tienes calor, puede cruzar la carretera y darse un chapuzón en el fresco, de agua dulce cenote!",Attractive,Restaurant
54732,Wow El lugar es increíble.... simplemente la locación es privilegiada no necesitas nada mas ... el servicio  es de lo mejor y la comida muy muy buena la limpieza todo tododefinitivamente regresaria  gracias,Hotel,Restaurant
12202,"Mi segunda vez y aún increíble!! Este lugar es mi favorito en Tulum y la Riviera Maya, que tienen una casa en Cancún y vienen dos veces al año, pero este lugar es bueno para evitar las multitudes de Zona Hotelera de Cancún. La comida es estupenda, menú diferente ahora. El nuevo restaurante es. Nos vemos la próxima vez.",Hotel,Restaurant
119094,"KANAN UN PARAISO QUE TIENEN QUE VISITAR Kanan es un lugar mágico, hermoso, una verdadera experiencia positiva, tanto el lugar como la gente crean un paraíso en la mitad de una de las playas mas hermosas que existen en el mundo. Sé los recomiendo MUCHISIMO.",Hotel,Attractive
102736,"Gran servicio al cliente en todos los sentidos desde la recepción, hospitalidad, restaurantes en Savy/Sabor. ¡Dany estuvo increíble! 5 - ¡Gran servicio! ! ! El camarero en la playa, Dany, fue excelente en rapidez, ayuda, información y cortés. Los restaurantes Sabor y Savy tienen comida de gran sabor y el servicio es excepcional para el desayuno, el almuerzo y la cena. Definitivamente regreso",Hotel,Restaurant
